pos_inicial_bola;vento;gravidade;altura;pos_final_bola
650.0;0.02194664753004631;0.08;800;857.4616591015275
653.0;0.04844922270317718;0.08;800;1110.9905022131336
67.0;0.04680660764432839;0.08;800;509.46286206183606
548.0;0.059974870442647876;0.08;800;1114.9424502943507
440.0;0.03056933464054748;0.08;800;728.9719203570958
174.0;0.06374384379937216;0.08;800;776.5705554354649
496.0;0.06799475625620333;0.08;800;1138.7544308898891
198.0;0.010525737024464769;0.08;800;276.17933084913153
560.0;0.0548999531622304;0.08;800;1078.969257242564
459.0;0.06529882166540968;0.08;800;1076.2697612031186
547.0;0.059421543359983564;0.08;800;1108.7118493819237
375.0;0.012785833703214232;0.08;800;478.62668174792964
191.0;0.014807876570122029;0.08;800;306.95883896304
172.0;0.0032123201845452444;0.08;800;202.36606270450642
310.0;0.015887465896983657;0.08;800;460.1842151241864
344.0;0.04304242822107851;0.08;800;558.3046883889328
247.0;0.06596463265969668;0.08;800;870.5636725321118
23.0;0.051698096540819125;0.08;800;511.7021066003622
458.0;0.052478907555822144;0.08;800;2417.7792601982283
139.0;0.005706789666889696;0.08;800;192.94628272110825
523.0;0.0188760898321552;0.08;800;701.4356771833627
202.0;0.021229720978882576;0.08;800;601.5250242102796
535.0;0.044739146840450716;0.08;800;957.9191550827812
531.0;0.04940784812152125;0.08;800;998.05238829274
686.0;0.0598123593537059;0.08;800;1251.4062329705819
29.0;0.03830816460702414;0.08;800;391.12708003019964
591.0;0.0485683781896483;0.08;800;1050.1168790267452
158.0;0.05214928217977414;0.08;800;394.8145604524749
194.0;0.06670973279978644;0.08;800;824.6071041563815
263.0;0.06741780826901668;0.08;800;900.3005415670157
5.0;0.06954364984328337;0.08;800;662.3961219685583
80.0;0.06713680444431609;0.08;800;526.0446648853242
564.0;0.04493914573646268;0.08;800;988.8097446467813
154.0;0.014856492021881391;0.08;800;294.4384190828452
700.0;0.06611325930742687;0.08;800;721.4688599188505
627.0;0.06970462000443507;0.08;800;1285.917772901925
105.0;0.04647872787740102;0.08;800;182.998238749016
135.0;0.010529791760059512;0.08;800;234.53812150784267
200.0;0.06687800844201129;0.08;800;832.1978138023328
570.0;0.03924719783934411;0.08;800;941.0037611753204
673.0;0.042786618052682114;0.08;800;1077.4619004520036
542.0;0.003268369050623005;0.08;800;572.8958926355391
457.0;0.0015186335033906765;0.08;800;471.3556425075522
555.0;0.05371201904195649;0.08;800;1062.7397160036144
322.0;0.056773488656044216;0.08;800;487.9689933541298
615.0;0.016321232162830678;0.08;800;976.0290797420043
2.0;0.025656138674760697;0.08;800;244.5274788925129
516.0;0.016685358643156508;0.08;800;673.7266952537584
498.0;0.02135364602475872;0.08;800;699.8560158720442
204.0;0.0032077696322501967;0.08;800;222.92971443553245
148.0;0.05916650921898903;0.08;800;326.6449128045185
204.0;0.04290772190943433;0.08;800;609.6066952098828
709.0;0.032056259606437286;0.08;800;1012.0278220596516
502.0;0.0630288169853953;0.08;800;1097.8114069629414
687.0;0.005351503401829496;0.08;800;886.2656899365977
577.0;0.033949585963049735;0.08;800;897.9254361087093
742.0;0.04321578936197185;0.08;800;1150.518856838719
636.0;0.05783334378979051;0.08;800;1182.6985988448907
648.0;0.04568430678267026;0.08;800;1079.8537520165817
328.0;0.06228661066452588;0.08;800;638.0608037415791
713.0;0.014343771307388425;0.08;800;848.5916701687427
115.0;0.004619641116011727;0.08;800;158.66946746965877
448.0;0.059897973202396426;0.08;800;1014.2155406822524
182.0;0.00556779660831584;0.08;800;234.6323813384097
125.0;0.008190873158373808;0.08;800;202.42832396610768
120.0;0.03609902123375119;0.08;800;150.07999008274572
342.0;0.02146433416091183;0.08;800;544.9023508230993
221.0;0.05267170283727317;0.08;800;718.9056069207429
291.0;0.016569959173618764;0.08;800;447.63582406821837
721.0;0.05770452809300184;0.08;800;912.3164230416085
399.0;0.027695464099207995;0.08;800;566.2324259915305
744.0;0.01786711868213872;0.08;800;912.8978729022572
421.0;0.022468672972474985;0.08;800;452.9748372744365
255.0;0.0539262128706596;0.08;800;764.7644902663446
275.0;0.06163150641246803;0.08;800;857.6026301170598
8.0;0.025220991353336004;0.08;800;246.41403126308472
174.0;0.049760678815426285;0.08;800;346.81408009647413
638.0;0.05596660420848322;0.08;800;1167.052309582792
690.0;0.01073989316238223;0.08;800;791.5242100639991
52.0;0.015539443589845481;0.08;800;198.8943602548094
168.0;0.0650328834829298;0.08;800;782.7558475641362
132.0;0.03260845950891623;0.08;800;160.19691099830465
71.0;0.02115679990060301;0.08;800;270.99522946040037
253.0;0.0362319797484725;0.08;800;595.5009045623102
16.0;0.03074751789567346;0.08;800;306.65628666780106
679.0;0.06715014866786909;0.08;800;771.1739211981003
172.0;0.03670716556663944;0.08;800;346.58595599199134
405.0;0.059945948688521336;0.08;800;1379.1242832019186
72.0;0.042508405628489794;0.08;800;473.83195840611376
546.0;0.06622494047599764;0.08;800;1172.0243623196056
33.0;0.02034789099939524;0.08;800;225.34861361728332
47.0;0.036429447170157565;0.08;800;391.3675640994993
623.0;0.04865898630206275;0.08;800;1082.973397513399
435.0;0.012181495098356686;0.08;800;644.4082555435416
537.0;0.06683564495744758;0.08;800;1168.7973517827522
287.0;0.05663430631041905;0.08;800;822.3640975523905
636.0;0.011072944830228613;0.08;800;823.2567474573863
359.0;0.02124436774755342;0.08;800;436.07621974024704
337.0;0.025900584871304536;0.08;800;581.8382287884423
171.0;0.01435430332261884;0.08;800;189.9249887493125
218.0;0.017007495499496646;0.08;800;611.5346885547765
663.0;0.055096700421842885;0.08;800;1183.8291090876814
676.0;0.061380880727932415;0.08;800;1256.233465521145
678.0;0.02894658947285472;0.08;800;951.6321102868956
551.0;0.06805318819025821;0.08;800;1194.3067879625105
